familia_nombre,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
AUTOMATICO,agility 125 rs,95000,61972,172,2,/productos/automatico-agility-125-rs.jpg,true,true
AUTOMATICO,bws 125,118000,61962,171,2,/productos/automatico-bws-125.jpg,true,true
BALINERAS,6201 2rs,2200,1171,71,2,/productos/balineras-6201-2rs.jpg,true,true
BALINERAS,6202 2rs,2500,1240,682,2,/productos/balineras-6202-2rs.jpg,true,true
BALINERAS,6203 2rs,2800,1489,317,2,/productos/balineras-6203-2rs.jpg,true,true
BALINERAS,6301 2rs,3200,1764,137,2,/productos/balineras-6301-2rs.jpg,true,true
BALINERAS,6302 2rs,3200,1764,277,2,/productos/balineras-6302-2rs.jpg,true,true
BANDAS FRENO,akt 110s/viva r/best banda freno trasero,7500,4452,0,2,/productos/bandas-freno-akt-110s/viva-r/best-banda-freno-trasero.jpg,true,true
BANDAS FRENO,boxer ct /ax 100/platino banda freno trasero,8000,4536,6,2,/productos/bandas-freno-boxer-ct-/ax-100/platino-banda-freno-trasero.jpg,true,true
BANDAS FRENO,discover 125st-150/pulsar 135-180 banda de freno trasero,10000,5217,1125,2,/productos/bandas-freno-discover-125st-150/pulsar-135-180-banda-de-freno-trasero.jpg,true,true
BANDAS FRENO,eco deluxe / cb 110/xr 150 banda freno delantero,10000,5068,253,2,/productos/bandas-freno-eco-deluxe-/-cb-110/xr-150-banda-freno-delantero.jpg,true,true
BANDAS FRENO,eco deluxe / cb 110/xr 150 trasero,7500,3892,1195,2,/productos/bandas-freno-eco-deluxe-/-cb-110/xr-150-trasero.jpg,true,true
BANDAS FRENO,xtz 125e/dr 150/ybr/libero banda freno trasero,11000,6285,71,2,/productos/bandas-freno-xtz-125e/dr-150/ybr/libero-banda-freno-trasero.jpg,true,true
BASE MANIGUETA,discover 125 st izquierda,5500,1814,730,2,/productos/base-manigueta-discover-125-st-izquierda.jpg,true,true
